year,iso,countries,region,hf_score,hf_rank,hf_quartile,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol_vdem,pf_rol,pf_ss_homicide,pf_ss_homicide_data,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_violent_data,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_fatalities_data,pf_ss_disappearances_injuries,pf_ss_disappearances_injuries_data,pf_ss_disappearances_torture,pf_ss_killings,pf_ss_disappearances,pf_ss,pf_movement_vdem_foreign,pf_movement_vdem_men,pf_movement_vdem_women,pf_movement_vdem,pf_movement_cld,pf_movement,pf_religion_freedom_vdem,pf_religion_freedom_cld,pf_religion_freedom,pf_religion_suppression,pf_religion,pf_assembly_entry,pf_assembly_freedom_house,pf_assembly_freedom_bti,pf_assembly_freedom_cld,pf_assembly_freedom,pf_assembly_parties_barriers,pf_assembly_parties_bans,pf_assembly_parties_auton,pf_assembly_parties,pf_assembly_civil,pf_assembly,pf_expression_direct_killed,pf_expression_direct_killed_data,pf_expression_direct_jailed,pf_expression_direct_jailed_data,pf_expression_direct,pf_expression_vdem_cultural,pf_expression_vdem_harass,pf_expression_vdem_gov,pf_expression_vdem_internet,pf_expression_vdem_selfcens,pf_expression_vdem,pf_expression_house,pf_expression_bti,pf_expression_cld,pf_expression,pf_identity_same_m,pf_identity_same_f,pf_identity_same,pf_identity_divorce,pf_identity_inheritance_widows,pf_identity_inheritance_daughters,pf_identity_inheritance,pf_identity_fgm,pf_identity,pf_score,pf_rank,ef_government_consumption_nointerest,ef_government_consumption_nointerest_data,ef_government_consumption_withinterest,ef_government_consumption_withinterest_data,ef_government_consumption,ef_government_transfers,ef_government_transfers_data,ef_government_investment,ef_government_investment_data,ef_government_tax_income,ef_government_tax_income_data,ef_government_tax_payroll,ef_government_tax_payroll_data,ef_government_tax,ef_government_soa,ef_government,ef_government_rank,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_contracts,ef_legal_realprop,ef_legal_police,ef_gender,ef_legal-nogender,ef_legal-gender,ef_legal_rank,ef_money_growth,ef_money_growth_data,ef_money_sd,ef_money_sd_data,ef_money_inflation,ef_money_inflation_data,ef_money_currency,ef_money,ef_money_rank,ef_trade_tariffs_revenue,ef_trade_tariffs_revenue_data,ef_trade_tariffs_mean,ef_trade_tariffs_mean_data,ef_trade_tariffs_sd,ef_trade_tariffs_sd_data,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_costs,ef_trade_regulatory,ef_trade_black,ef_trade_movement_open,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement_assets,ef_trade_movement,ef_trade,ef_trade_rank,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_flexible,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor_foreign,ef_regulation_labor,ef_regulation_business_burden,ef_regulation_business_costs,ef_regulation_business_impartial,ef_regulation_business_compliance,ef_regulation_business,ef_regulation_enter_openness,ef_regulation_enter_permits,ef_regulation_enter_distortion,ef_regulation_enter,ef_regulation,ef_regulation_rank,ef_score,ef_rank
2023,ALB,Albania,Eastern Europe,8.03,39,1,,,,5.35,4.97,9.6,1.39,10,10,0,7.5,10,0,10,0,8.41,9.85,9.39,9.5,9.24,9.92,9.86,9.67,10,9.84,9.83,9.58,10,9.79,9.81,8.12,7.5,10,10,9.17,9.32,9.66,8.38,9.12,8.67,8.77,10,0,10,0,10,5,6.72,4.09,9.64,4.99,6.92,6.47,6.67,3.33,6.29,10,10,10,10,,,7.5,10,9.38,8.36,49,7.455882353,14.65,6.864485306,16.66074996,7.160183829,7.435967302,9.91,7.545714286,23.59,9,23,7,34,8,8.045,7.637373083,30,4.621233575,4.674597553,4.420575103,8.33,5.6285,4.812252847,6.626692153,5.303920905,1,5.552221517,5.552221517,68,9.428019654,2.859901729,8.269914503,4.325213741,8.096,4.76,10,8.948483539,39,9.685163322,0.472255018,9.3,3.5,8.124,4.69,9.036387774,8.403653304,9.405327776,8.90449054,10,4.026668718,4.615384615,9.27,6.903052926,6.203776565,8.53616372,33,10,9.36276741,9,9.454255803,5.880863522,8.087248,7.88,6.688070909,4.283996313,10,7.764570316,7.226392723,5.651538372,6.444444444,6.42,3.587624865,5.52590192,6.810619344,5.621939551,6.25,6.227519632,7.10851752,35,7.56,35
2023,DZA,Algeria,Middle East & North Africa,4.5,157,4,,,,3.83,4.67,9.66,1.16,10,10,0,5,9.73,7,9.88,6,3.68,5.84,7.73,8.7,6.19,8.58,7.51,7.43,3.33,5.38,3.38,3.1,6.67,4.88,4.13,2.05,2.5,4.44,3.33,3.43,6.4,8.17,5.57,6.71,2.8,3.75,10,0,3.94,11,6.97,2.5,3.88,1.49,4.09,2.86,4.64,3.39,2.22,3.33,3.68,0,0,0,0,,,0,10,2.5,4.69,146,2.785294118,30.53,,,2.785294118,7.817129014,8.511136517,3.997142857,36.01,7,35,2,53,4.5,2.385,4.296913198,163,3.976311168,3.104725707,5.064927737,3.33,4.6045,3.798556263,5.521624536,6.131038725,0.705882353,4.441460517,3.788304558,131,8.911855051,5.440724745,5.344587323,11.63853169,6.272,9.32,5,6.382110594,125,8.48,2.28,6.22,18.9,5.842,10.395,6.847333333,2.923449494,0.479289941,1.701369717,0,1.457453089,0.769230769,0.75,4.332414369,1.827274557,2.593994402,164,0,5.67061144,5,3.55687048,2.966666667,4.256711,5.040065471,3.075,2.199759389,3,3.231489261,3.395670255,4.21515425,4.444444444,3.33,4.764764243,4.188590734,4.641448047,8.771110914,2.58320696,5.331921974,4.118263361,160,4.24,162
2023,AGO,Angola,Sub-Saharan Africa,5.96,115,3,,,,4.53,3.66,8.59,,5,10,0,7.5,9.42,12,10,0,4.39,8.07,7.77,8.18,8.17,9.53,8.25,8.65,6.67,7.66,6.87,8.03,6.67,7.35,7.11,5.56,2.5,3.33,6.67,4.17,7.27,9.27,6.92,7.82,6.98,6.13,10,0,9.33,1,9.67,2.5,5.02,2.17,9.35,4.07,5.8,5.28,3.33,3.33,4.82,10,10,10,7.5,,,5,10,8.13,6.53,105,9.291176471,8.41,8.534187021,10.98376413,8.912681746,9.702997275,1.59,8.611428571,19.86,9,25,7,33,8,3.945,7.834421518,22,3.806596829,2.647764912,3.390938086,4.17,3.71225,2.672162037,6.857195103,2.302500201,0.882352941,3.694925896,3.477577314,138,6.798984554,16.00507723,6.172658107,9.568354731,4.544,13.64,0,4.378910665,153,9.393333333,0.91,7.8,11,3.708,15.73,6.967111111,3.597555558,2.514792899,3.056174228,8.008844269,2.5,1.538461538,0,3.380395113,1.854714163,4.971710943,154,5,10,10,8.333333333,3.633333333,5.357142857,4.658823529,3.625,2.477777778,0,3.556020458,3.329728279,2.937894265,5.777777778,5.36,4.641461652,4.679283424,3.427184987,7.916415529,1.25,4.197866839,5.135052969,145,5.16,146
2023,ARG,Argentina,Latin America & the Caribbean,6.91,81,2,,,,5.59,5.39,8.75,4.31,5,10,0,7.5,10,0,9.98,1,7.76,8.96,8.46,8.6,9.57,9.92,9.76,9.75,10,9.87,9.23,9.82,10,9.91,9.57,8.06,10,10,6.67,8.89,9.89,9.9,9.33,9.71,9.02,8.92,10,0,10,0,10,7.5,8.82,8.38,9.84,8.21,9.63,8.97,7.78,6.67,8.18,10,10,10,10,,,10,10,10,8.65,37,5.911764706,19.9,5.702717305,20.61076116,5.807241005,5.773841962,16.01,8.702857143,19.54,7,35,1,57,4,6.6375,6.184288022,112,4.993171614,4.747242684,4.792428414,7.5,4.88625,4.425242988,9.815934976,5.955771804,0.882352941,5.88950531,5.543063821,69,0,72.54524484,0,38.1006554,0,133.49,5,1.25,162,3.713333333,9.43,7.32,13.4,5.8728,10.318,5.635377778,4.225541521,5.649711293,4.937626407,0,2.361582667,0,8.83,4.369282294,3.89021624,3.615805106,161,5,7.152020526,10,7.384006842,4.366666667,4.009683571,6.3833335,5.175,4.021451359,10,7.08607475,5.863172835,2.714232603,5.333333333,6.8425,4.504147403,4.848553335,6.144821889,5.726520614,3.380395113,5.083912538,5.794911388,121,4.48,159
2023,ARM,Armenia,Caucasus & Central Asia,7.73,51,2,,,,5.52,5.52,9.36,2.19,5,10,0,7.5,10,0,10,0,7.21,8.58,8.33,8.85,9.24,9.88,9.66,9.59,6.67,8.13,9.03,8.1,6.67,7.38,8.21,9.62,7.5,8.89,6.67,7.69,9.75,9.9,8.51,9.38,8.47,8.79,10,0,10,0,10,5,7.46,5.46,9.82,4.67,5.56,6.6,7.78,6.67,7.21,10,10,10,7.5,,,7.5,10,8.75,7.92,61,6.532352941,17.79,5.743469363,20.47220417,6.137911152,7.844686649,8.41,8.977142857,18.58,10,20,8,30,9,8.18,8.027948132,18,4.579189155,4.714653773,5.447385938,5,5.82225,4.763791117,8.13991275,7.084930738,1,5.694014184,5.694014184,63,8.236332402,8.818337991,8.799154983,3.002112542,9.208,1.98,10,9.060871846,24,9.56,0.66,8.74,6.3,8.2108,4.473,8.836933333,4.094873269,9.315389046,6.705131158,10,8.75,5.384615385,8.73,5.054189265,6.979701162,8.130441413,55,10,8.998946259,10,9.66631542,3.866666667,5.357142857,5.588235294,1.825,3.144444444,0,6.024245818,3.686533583,5.170405705,5.111111111,5.9625,6.020368906,5.566096431,5.590882575,9.302574229,5,6.631152268,6.387524425,88,7.46,39
2023,AUS,Australia,Oceania,8.79,10,1,,,,9.1,7.74,9.75,0.85,10,10,0,10,9.87,2,9.96,1,8.28,9.79,9.7,9.73,9.5,9.61,9.48,9.53,10,9.76,9.89,9.72,10,9.86,9.87,8.6,10,,10,10,9.63,9.83,9.68,9.71,8.58,9.22,10,0,10,0,10,7.5,8.72,9.01,9.17,6.88,8.77,8.51,,10,9,10,10,10,10,,,10,10,10,9.33,13,3.014705882,29.75,2.80279929,30.47048241,2.908752586,6.313351499,14.03,9.474285714,16.84,5,45,4,47,4.5,7.865,6.21227796,111,8.432655382,8.073684182,9.222861528,10,9.01475,8.675110396,8.10049394,7.95794487,1,8.684687537,8.684687537,6,8.655318264,6.723408678,9.057101446,2.357246385,7.76,5.6,10,8.868104928,44,8.926666667,1.61,9.52,2.4,9.0496,2.376,9.165422222,7.776422406,8.43343856,8.104930483,10,10,4.615384615,0.11,6.633172007,5.339639156,8.152497965,52,10,9.437030859,10,9.81234362,6.3,7.413710071,8.126536059,8,6.374980091,10,3.32918462,7.077772977,3.981757562,7.111111111,9.7,8.16151036,7.238594758,9.357153453,8.953087141,7.96681037,8.759016988,8.221932086,4,8.03,7
2023,AUT,Austria,Western Europe,8.54,22,1,,,,7.52,7.66,9.75,0.88,10,10,0,10,8.88,6,7.69,23,9.16,9.74,9.35,9.55,9.71,9.71,9.66,9.69,10,9.85,9.11,8.13,10,9.06,9.09,8.82,10,,10,10,9.88,8.85,9.74,9.49,9.6,9.48,10,0,10,0,10,7.5,9.34,9.16,9.88,7.54,7.42,8.67,,10,9.04,10,10,10,10,,,10,10,10,9.24,17,3.482352941,28.16,3.143736707,29.31129519,3.313044824,3.092643052,25.85,10,13.4,4,55,3,59,3.5,6.5275,5.286637575,144,7.975475664,7.729108613,9.309419791,10,9.14,6.954616573,7.61397477,9.298795064,1,8.50267381,8.50267381,10,7.783527839,11.08236081,9.103216508,2.241958729,6.876,7.81,10,8.440686087,65,9.674270297,0.488594555,9,5,7,7.5,8.558090099,7.078798215,9.981656882,8.530227549,10,10,3.076923077,9.16,8.449819883,7.67168574,8.690000847,26,8,9.227255424,10,9.075751808,2.6,5.773010714,7.379183118,2.325,5.417209185,3,4.751249353,4.463664624,4.46609656,7.777777778,8.0175,6.765789116,6.756790864,7.935144778,7.296297347,6.956506145,7.395982757,6.923047513,44,7.57,33
2023,AZE,Azerbaijan,Caucasus & Central Asia,5.29,134,4,,,,2.38,2.38,9.31,2.38,5,0,462,7.5,10,0,10,0,1.34,7.15,5.86,7.58,5.03,8.33,8.25,7.2,6.67,6.93,2.81,4.7,3.33,4.01,3.41,0.58,0,2.22,3.33,1.85,4.07,9.52,4.87,6.15,2.86,2.86,4.14,2,0,19,2.07,0,2.82,0.57,6.7,3.09,3.61,3.36,1.11,3.33,1.97,10,10,10,7.5,,,10,10,9.38,4.93,137,5.632352941,20.85,5.457143743,21.44571127,5.544748342,8.081743869,7.54,0,57.6,9,25,4,44,6.5,3.2325,4.671798442,158,3.995110328,2.688159998,4.653053283,5,4.1155,6.465273184,3.815500426,7.551862796,0.941176471,4.785557502,4.644805811,103,7.533081929,12.33459036,1.912982117,20.21754471,6.484,8.79,10,6.482516011,123,8.729329852,1.906005222,8.36,8.2,6.1296,9.676,7.739643284,5.817269087,8.19983032,7.008549703,10,4.806683958,4.615384615,2.59,4.363143643,4.093803054,7.21049901,83,5,10,10,8.333333333,1.2,6.699424357,5.856862412,1.825,3.467003833,1,7.500275373,3.935509425,7.210695743,7.111111111,3.135,5.799056102,5.813965739,4.743219083,9.024509983,3.75,5.839243022,5.98051288,111,5.8,130
2023,BHS,"Bahamas, The",Latin America & the Caribbean,7.79,47,2,,,,,6.37,0.64,32.2,10,10,0,,10,0,10,0,,,10,5.32,,,,,10,10,,,10,10,10,,10,,10,10,,,,,,10,10,0,10,0,10,7.5,,,,,,,,10,9.17,10,10,10,2.5,,,10,10,8.13,8.43,46,7.026470588,16.11,5.857002455,20.08619165,6.441736522,8.80653951,4.88,10,6.12,10,0,10,9,10,,8.812069008,6,6.072929284,6.642512228,4,10,6.67,4.748046726,9.403392422,2.5,1,6.254610082,6.254610082,46,9.269564344,3.652178282,7.187609161,7.030977099,8.78,3.05,0,6.309293376,129,6.88,4.68,3.5,32.5,1.55,21.125,3.976666667,0,8.105924622,4.052962311,10,2.5,0.769230769,10,5,4.567307692,5.649234167,142,10,7.636248416,10,9.212082805,7.52615602,6.016323612,,6.688070909,6.045224547,10,5,6.879295848,,6,,6.631277199,6.315638599,8.00406519,7.982034036,6.25,7.412033075,7.454762582,19,6.9,71
2023,BHR,Bahrain,Middle East & North Africa,5.44,129,4,,,,3.62,3.62,9.94,0.2,10,10,0,5,10,0,10,0,2.72,4.58,7.47,8.71,4.26,7.51,6.76,6.18,3.33,4.75,1.98,4.27,3.33,3.8,2.89,1.36,0,1.11,0,0.37,2.76,4.61,2.9,3.42,2.03,1.79,10,0,0,28,5,0,1.09,0.59,6.99,2.52,1.23,2.48,0,0,1.5,10,10,10,0,,,0,10,5,4.04,156,3.744117647,27.27,2.315867617,32.1260501,3.029992632,9.433242507,2.58,10,9.26,10,0,10,20,10,4,7.292647028,52,5.381895754,5.506197664,7.671740055,5,5.11575,6.119080996,2.666150215,8.225464026,0.647058824,5.710784839,4.702999279,101,9.131618146,4.341909269,7.301790289,6.745524278,9.972,0.07,10,9.101352109,22,9.680495947,0.47925608,9.1,4.5,8.506,3.735,9.095498649,7.15586702,6.6739774,6.91492221,10,8.75,6.153846154,7.11,7.478115956,7.372990527,8.345852847,45,10,6.238163558,10,8.746054519,6.012486922,6.278187073,8.254167571,6.688070909,6.466569812,10,6.01392587,7.101915451,6.061911583,8,2.8475,9.873895077,6.695826665,8.051961842,9.755026554,5.688561252,7.831849883,7.593911629,18,7.41,43
